epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2495.32,1.79346,1.93574,1.3205,0.54406,0.71429,0.68814,0.31833,2.26133,2.33933,1.58375,0.0008318,0.0008318,0.0008318
61,2549.95,1.81952,1.79719,1.33755,0.56218,0.71429,0.63681,0.30244,2.11328,2.341,1.55854,0.000812,0.000812,0.000812
62,2596.84,1.91195,1.90187,1.20275,0.89342,0.42857,0.59224,0.28861,2.00566,2.62584,1.61787,0.0007922,0.0007922,0.0007922
63,2643.54,2.15873,2.05509,1.18436,0.51849,0.46555,0.50132,0.27899,1.93692,2.57342,1.62054,0.0007724,0.0007724,0.0007724
64,2694,1.75544,1.89169,1.13147,0.82792,0.69107,0.73923,0.36275,1.9813,2.32042,1.62491,0.0007526,0.0007526,0.0007526
65,2737.7,1.74245,1.77641,1.15381,0.77031,0.48661,0.66541,0.29037,2.09386,2.3065,1.65883,0.0007328,0.0007328,0.0007328
66,2778.32,1.99068,1.94363,1.24636,0.65365,0.81253,0.83167,0.22859,2.13175,2.35487,1.68687,0.000713,0.000713,0.000713
67,2818.95,1.82829,1.79339,1.22696,0.79239,0.54968,0.68443,0.20908,2.05813,2.35443,1.66633,0.0006932,0.0006932,0.0006932
68,2858.92,1.7982,1.87192,1.35694,0.79931,0.56944,0.60165,0.2238,1.9588,2.18427,1.75119,0.0006734,0.0006734,0.0006734
69,2900.38,1.87455,1.88752,1.18562,0.632,0.57143,0.64867,0.2606,1.86088,2.20496,1.74823,0.0006536,0.0006536,0.0006536
70,2940.6,1.88797,1.99088,1.22936,0.57843,0.57143,0.61226,0.29541,1.73217,2.2071,1.6017,0.0006338,0.0006338,0.0006338
71,2987.47,1.91388,1.92848,1.24076,0.65091,0.57143,0.62519,0.3646,1.64129,2.1349,1.50983,0.000614,0.000614,0.000614
72,3031.42,1.92818,1.75002,1.17697,0.65238,0.57143,0.58919,0.33148,1.8167,2.07231,1.55223,0.0005942,0.0005942,0.0005942
73,3076.39,1.76151,1.93068,1.32569,0.64653,0.57143,0.58528,0.32207,1.99036,2.06215,1.53222,0.0005744,0.0005744,0.0005744
74,3120.67,1.60471,1.74411,1.17177,0.63059,0.57143,0.55539,0.28562,2.10925,2.10618,1.5365,0.0005546,0.0005546,0.0005546
75,3164.02,1.6924,1.69361,1.17858,0.63095,0.57143,0.54873,0.27268,2.11181,2.08747,1.52528,0.0005348,0.0005348,0.0005348
76,3209.49,1.73398,1.79947,1.16304,0.5339,0.57143,0.49652,0.28905,2.19404,2.20874,1.50518,0.000515,0.000515,0.000515
77,3254.03,1.56431,1.72106,1.16912,0.78593,0.53123,0.53581,0.30954,2.26483,2.2341,1.5081,0.0004952,0.0004952,0.0004952
78,3297.91,1.82748,1.79011,1.15462,0.79716,0.56331,0.53553,0.2802,2.18079,2.11004,1.51968,0.0004754,0.0004754,0.0004754
79,3337.29,1.73861,1.69251,1.17863,0.595,0.57143,0.50858,0.23355,2.27844,2.12122,1.53274,0.0004556,0.0004556,0.0004556
80,3378.89,1.73965,1.64717,1.18059,0.79433,0.55522,0.5709,0.23652,2.27571,2.10814,1.56004,0.0004358,0.0004358,0.0004358
81,3424.45,1.66444,1.78091,1.11485,0.6302,0.57143,0.50979,0.25884,2.14458,2.09868,1.59619,0.000416,0.000416,0.000416
82,3464.4,1.80645,1.59459,1.10453,0.62209,0.57143,0.50575,0.28067,2.03712,2.07809,1.60976,0.0003962,0.0003962,0.0003962
83,3501.61,1.77873,1.93317,1.23023,0.61244,0.57143,0.50571,0.28272,2.07861,2.07505,1.62561,0.0003764,0.0003764,0.0003764
84,3539.22,1.78929,1.60231,1.13377,0.78018,0.57143,0.51163,0.24379,2.13881,2.0723,1.62656,0.0003566,0.0003566,0.0003566
85,3584.8,1.60995,1.60718,1.10745,0.65489,0.57143,0.51535,0.25483,2.10429,2.12563,1.64994,0.0003368,0.0003368,0.0003368
86,3625.91,1.86071,1.78464,1.20065,0.75536,0.57143,0.55805,0.29929,1.97988,2.00005,1.65654,0.000317,0.000317,0.000317
87,3665.83,1.75483,1.65163,1.103,0.76178,0.57143,0.55262,0.31599,1.81642,1.96003,1.64346,0.0002972,0.0002972,0.0002972
88,3717.39,1.8784,1.66845,1.18674,0.97631,0.71429,0.79517,0.35508,1.63516,1.9869,1.55769,0.0002774,0.0002774,0.0002774
89,3766.38,1.60028,1.97899,1.2208,0.78391,0.71429,0.76147,0.3399,1.59402,2.02861,1.52342,0.0002576,0.0002576,0.0002576
90,3814.06,1.69606,1.59553,1.24264,0.79706,0.71429,0.76473,0.36746,1.59214,2.01376,1.52076,0.0002378,0.0002378,0.0002378
91,3862.34,2.03175,2.03989,1.19157,0.7867,0.71429,0.76885,0.35904,1.59589,1.94568,1.52972,0.000218,0.000218,0.000218
92,3910.11,1.71538,1.83956,1.12205,0.94928,0.71429,0.7988,0.41885,1.60982,1.8928,1.55197,0.0001982,0.0001982,0.0001982
93,3958.83,1.50506,1.69433,1.00992,0.94305,0.71429,0.79941,0.44372,1.60782,1.88169,1.54272,0.0001784,0.0001784,0.0001784
94,4009.3,1.76536,1.70031,1.09627,0.92926,0.71429,0.79985,0.44354,1.61066,1.864,1.54954,0.0001586,0.0001586,0.0001586
95,4062.26,1.81111,1.77823,1.08562,0.92941,0.71429,0.7992,0.44713,1.62925,1.86027,1.57714,0.0001388,0.0001388,0.0001388
96,4113.71,2.02074,1.74272,1.03386,0.93938,0.71429,0.79941,0.39439,1.6654,1.88509,1.64001,0.000119,0.000119,0.000119
97,4171.27,1.56332,1.62637,1.0426,0.94051,0.71429,0.80031,0.38,1.66598,1.90768,1.65008,9.92e-05,9.92e-05,9.92e-05
98,4222.5,1.81754,1.76188,1.08441,0.94591,0.71429,0.80056,0.38009,1.68668,1.91268,1.71468,7.94e-05,7.94e-05,7.94e-05
99,4273.41,1.28732,2.3323,0.88251,0.94612,0.71429,0.80692,0.3806,1.685,1.92648,1.72419,5.96e-05,5.96e-05,5.96e-05
100,4327.31,1.76712,1.95867,1.19355,0.95369,0.71429,0.80517,0.37968,1.68084,1.92929,1.69053,3.98e-05,3.98e-05,3.98e-05
